m,y,Spot Price,Quarterly Total,Quarterly Coffee-Producing
1,2021,,,
2,2021,,,
3,2021,165.65,11495537,717735
4,2021,,,
5,2021,183.5,5748090,389342
6,2021,,,
7,2021,224.4,5988069,495747
8,2021,,,
9,2021,224.85,6070682,547667
10,2021,,,
11,2021,,,
12,2021,218.6,10681870,702237
1,2022,,,
2,2022,,,
3,2022,220.4,9399081,673485
4,2022,,,
5,2022,228.1,6329532,385205
6,2022,,,
7,2022,164.05,4633321,575988
8,2022,,,
9,2022,,8303204,681363
10,2022,186.7,,
11,2022,,,
12,2022,190.45,13581396,710413
1,2023,,,
2,2023,,,
3,2023,152.45,8399357,515095
4,2023,,,
5,2023,167.5,5202871,494075
6,2023,,,
7,2023,209.55,5636205,434522
