m,y,Mexico,Colombia,Vietnam,Ecuador,Indonesia,Domincan Republic,Cuba,India,Panama,Spot Price,
1,2021,28982,132458,5510,2653,21645,14015,1625,4800,0,,
2,2021,47486,126241,8653,37851,23148,2486,9425,1600,0,,
3,2021,57906,111659,3133,16935,35490,17314,0,6400,320,125.45,
4,2021,50366,81858,10557,29802,29159,16316,23075,0,316,,
5,2021,48100,60371,0,29334,10088,0,0,0,0,151.8,
6,2021,82784,36828,900,24693,42397,3836,2600,9600,0,,
7,2021,116125,134949,3810,10341,23595,197,0,3000,92,165.65,
8,2021,127859,68769,6648,11385,32036,867,0,0,118,,
9,2021,153532,115135,2100,1546,14468,13112,0,0,92,183.5,
10,2021,110695,88426,5015,2263,18608,11821,0,1200,41,,
11,2021,77638,95839,2667,3659,60570,21830,4550,1200,0,,
12,2021,19311,109595,5766,2301,31266,22821,3575,1500,80,224.4,
1,2022,25550,123278,2421,3100,11010,20102,,2300,0,,
2,2022,43200,123402,13109,41391,22102,7793,,0,0,,
3,2022,60231,105673,11501,13210,33010,11102,,0,,224.85,
4,2022,55321,90129,9505,35412,22120,0,,0,,,
5,2022,50992,80128,0,28741,8939,3918,,0,0,218.6,
6,2022,90123,43998,12010,55201,43102,200,,0,,,
7,2022,124302,142222,11011,13141,22190,249,,18239,,220.4,
8,2022,134107,133220,2030,18101,34302,4503,,10120,0,,
9,2022,167783,115201,5772,35111,13141,7102,,870,,228.1,
10,2022,123336,72120,2667,22101,19910,11910,,920,,,
11,2022,65311,85520,2988,20808,60710,22201,0,0,,,
12,2022,30942,90104,5766,19550,29190,23999,,360,,164.05,
1,2023,11236,104796,1333,9450,7614,23620,6027,0,,,
2,2023,16140,121383,12658,7081,22060,6390,5280,0,,,
3,2023,11257,101361,12070,4546,23340,7451,2,0,,186.7,
4,2023,11165,109758,0,3986,21839,0,0,0,,,
5,2023,8180,103439,15708,8706,200799,3675,3233,3587,,190.45,
6,2023,35669,111837,17724,10942,30512,640,3867,0,,,
7,2023,36999,93344,20339,11768,57207,268,1971,1435,,152.45,
8,2023,79541,124992,27443,17241,28783,6728,5,19246,,,
9,2023,101974,124992,26996,29083,46151,439,12800,9588,,167.5,
10,2023,81689,73273,9393,21239,66156,28332,433,1755,,,
11,2023,67720,85250,17250,24730,40889,53742,1882,920,,,
12,2023,154829,91104,24858,21658,50541,32092,0,320,,209.55,
